Timestamp,Pressure (PSI),Flow Rate (bbl/h),Temperature (F),Wear Factor (%),Valve Status,Pump Speed (RPM),Vibration Level (mm/s),Corrosion Level (%),Leak Detected,Oil Quality,Pressure Loss (PSI),Pump Efficiency (%),Humidity (%),Ambient Temperature (F),Distance from Source (km),Last Maintenance,Pressure Regulator Status,Flow Control Valve (%),Oil Density (g/cm³),Oil Viscosity (cP),Pipeline Altitude (m),Pipeline Diameter (m),Sand Content (ppm),Pipeline Coating Condition (%),Oil Sulfur Content (%),Scheduled Maintenance,Anomaly
2023-09-11 15:01:36.333851,813.48,407.86,101.72,0.01,closed,1998.71,3.87,0.01,0,Medium,7.95,89.6,43.02,73.56,60.06,2023-06-28 15:01:36,active,92.89,0.904,21.23,576.84,0.78,5.71,99.99,2.16,0,0
2023-09-11 15:31:36.333851,808.63,439.83,87.48,0.02,open,1788.85,3.96,0.01,0,Medium,5.39,81.53,66.44,61.7,55.72,2023-06-28 15:01:36,active,65.4,0.893,9.42,458.76,1.02,6.0,99.98,1.8,0,0
2023-09-11 16:01:36.333851,747.23,484.23,83.45,0.03,open,1771.63,2.73,0.01,0,Heavy,8.64,82.62,54.6,72.96,50.71,2023-06-28 15:01:36,inactive,80.57,0.856,22.55,498.83,0.96,4.56,99.97,1.86,1,0
2023-09-11 16:31:36.333851,826.54,488.53,102.9,0.04,closed,1817.23,3.29,0.02,0,Heavy,3.59,87.69,35.32,80.54,42.9,2023-06-28 15:01:36,active,78.79,0.915,30.63,526.92,0.98,6.56,99.96,3.13,0,0
2023-09-11 17:01:36.333851,793.02,433.64,81.89,0.05,closed,1728.79,3.29,0.03,0,Heavy,5.69,98.49,58.73,59.59,42.0,2023-06-28 15:01:36,inactive,74.86,0.951,22.16,501.48,1.01,6.06,99.95,2.05,0,0
2023-09-11 17:31:36.333851,757.98,435.8,69.64,0.06,closed,1778.89,2.86,0.03,0,Medium,8.38,85.36,68.06,75.6,56.31,2023-06-28 15:01:36,active,56.45,0.878,18.11,504.83,1.11,3.14,99.94,1.53,0,0
2023-09-11 18:01:36.333851,796.86,391.52,94.93,0.07,closed,1725.11,2.83,0.04,0,Light,4.05,89.14,75.28,76.26,66.11,2023-06-28 15:01:36,inactive,81.08,0.854,24.17,464.6,1.07,4.72,99.93,1.99,1,0
2023-09-11 18:31:36.333851,832.81,373.6,121.91,0.08,open,1998.62,2.46,0.04,0,Heavy,4.65,97.49,39.64,68.93,54.45,2023-06-28 15:01:36,active,71.2,0.868,25.15,468.87,0.78,5.21,99.92,2.1,0,0
2023-09-11 19:01:36.333851,800.27,366.63,111.59,0.09,closed,1687.54,2.29,0.04,0,Heavy,1.64,90.51,60.08,67.77,66.03,2023-06-28 15:01:36,active,91.69,0.887,8.9,556.74,0.84,5.07,99.91,1.9,1,0
2023-09-11 19:31:36.333851,824.0,326.38,112.02,0.1,closed,1817.29,3.64,0.05,0,Light,6.49,90.75,37.85,72.43,26.24,2023-06-28 15:01:36,active,74.93,0.903,13.46,543.31,1.04,4.52,99.9,2.75,0,0
